onset	TRIAL_TYPE
1	six
7	three
14	wife
20	wife
27	four
33	three
40	child
46	four
53	wife
59	ten
66	six
72	father
79	father
85	father
92	three
98	three
105	daughter
111	child
118	child
124	six
131	three
137	daughter
144	ten
150	child
156	four
163	father
169	father
176	wife
182	child
189	daughter
195	four
202	four
208	child
215	ten
221	three
228	wife
234	four
241	six
247	three
254	four
260	ten
267	daughter
273	daughter
280	father
286	child
293	father
299	three
306	child
312	four
319	ten
325	daughter
331	wife
338	daughter
344	child
351	six
357	daughter
364	child
370	ten
377	father
383	wife
390	six
396	ten
403	ten
409	six
416	father
422	child
429	six
435	daughter
442	three
448	ten
455	daughter
461	father
468	six
474	three
481	daughter
487	daughter
494	daughter
500	three
506	ten
513	father
519	three
526	ten
532	six
539	father
545	three
552	wife
558	wife
565	wife
571	three
578	three
584	daughter
591	four
597	father
604	wife
610	father
617	child
623	six
630	ten
636	four
643	father
649	four
656	six
662	ten
669	six
675	father
681	wife
688	ten
694	daughter
701	child
707	three
714	four
720	child
727	six
733	wife
740	three
746	four
753	daughter
759	six
766	ten
772	daughter
779	daughter
785	wife
792	six
798	ten
805	three
811	ten
818	four
824	ten
831	four
837	wife
844	three
850	ten
856	six
863	six
869	daughter
876	daughter
882	wife
889	wife
895	four
902	wife
908	father
915	four
921	father
928	four
934	wife
941	six
947	child
954	three
960	four
967	six
973	child
980	child
986	wife
993	child
999	child
1006	ten
1012	four
1019	father
1025	child
1031	father
